Index,emote_display,link,Emote,IMAGE,Cohort,emotion_recognition,anger_calmness,despair_hope,disgust_like,hate_love,sadness_joy,anticipation_surprise,sacrasm_lvl,Confidence_answer
255,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/304486324/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/304486324/1.0,StinkyGlitch,,Animal or creature recognisable emote,10,5,1,2,2,4,1,1,7
256,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/17/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/17/1.0,StoneLightning,,Real Face based emote,10,4,0,5,3,8,5,1,6
257,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/114876/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/114876/1.0,StrawBeary,,Painted face emote,10,7,1,1,1,1,-5,0,6
236,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_fcbeed664f7c47d6ba3b57691275ef51/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_fcbeed664f7c47d6ba3b57691275ef51/1.0,SUBprise,,Possible emote recognition,10,4,0,4,2,9,6,0,7
237,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_bfb533e2253044f3a77d0032b2354c0b/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_bfb533e2253044f3a77d0032b2354c0b/1.0,SUBtember,,Possible emote recognition,10,9,0,0,0,0,-9,0,8
258,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/118772/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/118772/1.0,SuperVinlin,,Real Face based emote,10,4,2,5,3,8,4,0,5
259,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/34/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/34/1.0,SwiftRage,,Real Face based emote,10,-10,-7,-3,-8,-1,7,0,8
260,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/143490/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/143490/1.0,TBAngel,,Possible emote recognition,5,9,8,4,2,3,-4,0,4
267,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/160403/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/160403/1.0,TearGlove,,Painted face emote,10,-3,-9,0,-1,-7,-8,0,8
268,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/160404/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/160404/1.0,TehePelo,,Painted face emote,10,8,3,5,3,4,1,7,8
261,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/1899/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/1899/1.0,TF2John,,Real Face based emote,10,-7,-7,-5,-5,-1,6,0,5
269,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/160392/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/160392/1.0,ThankEgg,,Possible emote recognition,10,9,-10,0,0,-6,-5,2,8
270,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/145315/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/145315/1.0,TheIlluminati,,Possible emote recognition,2,8,0,0,0,0,0,0,1
271,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/18/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/18/1.0,TheRinger,,Real Face based emote,10,4,3,-2,1,-1,2,0,4
272,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/111351/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/111351/1.0,TheTarFu,,Real Face based emote,10,8,4,-6,-1,-1,-6,0,2
273,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/7427/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/7427/1.0,TheThing,,Real Face based emote,10,-8,0,-1,-3,0,-3,0,3
274,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/1898/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/1898/1.0,ThunBeast,,Real Face based emote,10,4,1,-2,0,0,8,1,5
275,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/111119/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/111119/1.0,TinyFace,,Painted face emote,10,3,0,3,1,2,-2,0,5
276,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/864205/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/864205/1.0,TombRaid,,Not recognisable,0,0,0,0,0,0,0,0,0
277,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/114846/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/114846/1.0,TooSpicy,,Real Face based emote,10,4,1,-1,-1,0,-8,0,4
263,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/323914/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/323914/1.0,TPcrunchyroll,,Painted face emote,10,4,1,2,0,0,0,0,4
262,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/508650/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/508650/1.0,TPFufun,,Painted face emote,10,10,3,3,0,2,4,0,7
279,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/120232/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/120232/1.0,TriHard,,Real Face based emote,10,4,0,4,1,7,6,1,7
264,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/38436/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/38436/1.0,TTours,,Not recognisable,0,0,0,0,0,0,0,0,0
280,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_13b6dd7f3a3146ef8dc10f66d8b42a96/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_13b6dd7f3a3146ef8dc10f66d8b42a96/1.0,TwitchConHYPE,,Real Face based emote,10,5,2,5,1,4,3,1,6
281,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/166263/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/166263/1.0,TwitchLit,,Not recognisable,0,0,0,0,0,0,0,0,0
313,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/62836/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/62836/1.0,twitchRaid,,Not recognisable,0,0,0,0,0,0,0,0,0
