"channel_id","emote"
71336,"rbzSmrt"
71336,"rbzWhat"
71336,"rbzFlirty"
71336,"rbzOne"
71336,"rbzDuck"
71336,"rbzEZ"
71336,"rbzWUT"
71336,"rbzS"
71336,"rbzBurp"
71336,"rbzLOSE"
71336,"rbzWIN"
71336,"rbzFineA"
71336,"rbzCringe"
71336,"rbzSniff"
71336,"rbzSoy"
71336,"rbzTeet"
71336,"rbzHaha"
87413,"painMarineRun"
87413,"painRaze"
87413,"painRaze1"
87413,"painRaze2"
87413,"painRaze3"
87413,"painPog"
87413,"painMon"
87413,"painScum"
87413,"painNuke"
87413,"painGar"
87413,"painNT"
87413,"painPringles"
87413,"painSluceGoose"
87413,"painOMG"
87413,"painPOGGERS"
87413,"painMorty"
87413,"painMortySpin"
87413,"painGGs"
122083,"booferNerd"
122083,"booferKEKW"
122083,"booferGasm"
122083,"booferAlskjdalsjkd"
122083,"booferNoU"
122083,"booferUwU"
122083,"booferSUPERHYPE"
122083,"booferWow"
122083,"booferJudge"
122083,"booferWHY"
122083,"booferPls"
122083,"booferCry"
122083,"booferBap"
122083,"booferBlush"
122083,"booferBoof"
122083,"booferWoozy"
122083,"booferLooker"
122083,"booferChonk"
122083,"booferJAM"
122083,"booferLove"
122083,"booferShy"
122083,"booferHey"
122083,"booferVibe"
122083,"booferWag"
122083,"booferComfy"
122083,"booferBeans"
122083,"booferTired"
122083,"booferSmol"
122083,"booferDizzy"
122083,"booferSmug"
122083,"booferWorm"
122083,"booferSniffa"
122083,"booferPog"
122083,"booferAngy"
122083,"booferButter"
122083,"booferRage"
122083,"booferHYPERS"
122083,"booferLurk"
122083,"booferDerp"
122083,"booferSip"
122083,"booferHug"
122083,"booferKnife"
122083,"booferPause"
122083,"booferCringe"
122083,"booferBlep"
122083,"booferTantrum"
127800,"pstarsGold"
127800,"pstarsRake"
127800,"pstarsBarry"
127800,"pstars7"
127800,"pstarsChop"
127800,"pstarsPot"
127800,"pstarsLove"
127800,"pstarsJoe"
127800,"pstarsJames"
127800,"pstarsSpraggy"
127800,"pstarsFintan"
127800,"pstarsRiver"
127800,"pstarsPP"
127800,"pstarsGED"
127800,"pstarsRIG"
127800,"pstarsClock"
127800,"pstarsAllin"
127800,"pstarsTwitch"
127800,"pstarsSpade"
127800,"pstarsDice"
127800,"pstarsEPT"
127800,"pstarsBall"
127800,"pstars6"
127800,"pstarsS"
127800,"pstarsP"
127800,"pstarsPye"
127800,"pstarsGJ"
127800,"pstarsChest"
127800,"pstarsD2S"
131070,"runePogShaun"
131070,"runeGf"
131070,"runeOsborne"
131070,"runeShauny"
131070,"runeSalt"
131070,"runeXmas"
131070,"runeLana"
131070,"runeMHAWBondathon"
131070,"runeGameBlast18"
138803,"jakuIsThis"
138803,"jakuLantern"
138803,"jakuWut"
138803,"jakuCC"
138803,"jakuSecure"
138803,"jaku5050"
138803,"jakuBlueDrone"
138803,"jakuVirgil"
138803,"jakuLurk"
138803,"jakuZona"
138803,"jaku1"
138803,"jaku3rd"
138803,"jakuCat"
138803,"jakuHi"
138803,"jakuHog"
138803,"jakuHonk"
138803,"jakuGoomba"
138803,"jakuPaper"
138803,"jakuOop"
138803,"jakuW"
138803,"jakuRIP"
138803,"jakuNoid"
140658,"fnaticFnatic"
140658,"fnaticFNC"
140658,"fnaticKnife"
140658,"fnaticFeelsgoodman"
140658,"fnaticFeelsbadman"
140658,"fnaticMonkaS"
140658,"fnaticSweat"
140658,"fnaticLove"
140658,"fnaticCheer"
140658,"fnaticHypers"
140658,"fnaticMonkaT"
140658,"fnaticPepehands"
140658,"fnaticPoggers"
140658,"fnaticWorlds2020"
140658,"fnaticJade"
140658,"fnaticDerke"
140658,"fnaticBoaster"
152108,"crogWelp"
152108,"crogRip"
152108,"crogLuv"
152108,"crogHype"
152108,"crogTen"
152108,"crogIQ"
152108,"crogSad"
152108,"crogP"
152108,"crogRekt"
152108,"crogHype1"
152108,"crogR"
152108,"crogPoo"
152108,"crogGasm"
152108,"crogO"
152108,"crogIdk"
152108,"crogF"
152108,"crogD"
152108,"crogOkay"
152108,"crogI"
152108,"crogPewp"
152108,"crogG"
152108,"crogOk"
152108,"crogW"
152108,"crogDerp"
152108,"crogSub"
152108,"crog1"
165785,"hermitCoffee"
165785,"hermitPecker"
165785,"hermitTrumpet"
165785,"hermitBrushYourHair"
165785,"hermitLadyPecker"
165785,"hermitCrown"
165785,"hermitDangerzone"
165785,"hermitEmerald"
165785,"hermitBooger"
165785,"hermitHeart"
165785,"hermitChamp"
165785,"hermitBteam"
165785,"hermitYoYoYo"
165785,"hermitBoo1"
165785,"hermitBoo2"
165785,"hermitYoYoYoTier2"
165785,"hermitBoo1Tier2"
165785,"hermitBoo2Tier2"
165785,"hermitYoYoYoTier3"
165785,"hermitBoo1Tier3"
165785,"hermitBoo2Tier3"
165785,"hermitGuardLeft"
165785,"hermitPunchLeft"
165785,"hermitGuardLeftTier2"
165785,"hermitPunchLeftTier2"
165785,"hermitGuardLeftTier3"
165785,"hermitPunchLeftTier3"
165785,"hermitPunchRight"
165785,"hermitGuardRight"
165785,"hermitMeat"
165785,"hermitGeorge"
165785,"hermitJerkbag"
165785,"hermitClap"
165785,"hermitHype1"
165785,"hermitHype2"
165785,"hermitHype3"
165785,"hermitRIP"
165785,"hermitLUL"
165785,"hermitCrabRave"
165785,"hermitMariahCarey"
165785,"hermitPitchfork"
165785,"hermitGamble"
165785,"hermitWarsh"
165785,"hermitCowseeum"
165785,"hermitSpinnyKitty"
165785,"hermitCry"
165785,"hermitTorch"
165785,"hermitDance"
191498,"fataHEHEGOLD"
191498,"fata12x"
191498,"fataCRT"
191498,"fataGG"
191498,"fataHAX"
191498,"fataHype"
